证券代码,证券简称,基金成立日
000006.OF,西部利得量化成长A,2019-03-19
000017.OF,财通可持续发展主题,2013-03-27
000020.OF,景顺长城品质投资A,2013-03-19
000021.OF,华夏优势增长,2006-11-24
000031.OF,华夏复兴A,2007-09-10
000039.OF,农银汇理低估值高增长,2013-03-26
000057.OF,中银消费主题,2013-04-25
000061.OF,华夏盛世精选,2009-12-11
000066.OF,诺安鸿鑫A,2013-05-03
000083.OF,汇添富消费行业,2013-05-03
000117.OF,广发轮动配置,2013-05-28
000120.OF,中银美丽中国,2013-06-07
000124.OF,华宝服务优选,2013-06-27
000127.OF,农银汇理行业领先,2013-06-25
000166.OF,中海信息产业精选,2017-09-16
000172.OF,华泰柏瑞量化增强A,2013-08-02
000173.OF,汇添富美丽30A,2013-06-25
000199.OF,国泰量化策略收益A,2015-01-16
000209.OF,信诚新兴产业A,2013-07-17
000220.OF,富国医疗保健行业A,2013-08-07
000251.OF,工银金融地产A,2013-08-26
000263.OF,工银信息产业A,2013-11-11
000294.OF,华安生态优先A,2013-11-28
000308.OF,建信创新中国,2013-09-24
000327.OF,南方潜力新蓝筹A,2015-05-29
000339.OF,长城医疗保健A,2014-02-28
000354.OF,长盛城镇化主题,2013-11-12
000432.OF,中银优秀企业,2014-01-28
000522.OF,华润元大信息传媒科技,2014-03-31
000532.OF,景顺长城优势企业A,2014-03-19
000547.OF,建信健康民生A,2014-03-21
000550.OF,广发新动力,2014-03-19
000551.OF,信诚幸福消费,2014-04-29
000589.OF,光大银发商机主题,2014-04-29
000591.OF,中银健康生活,2014-05-20
000601.OF,华宝创新优选,2014-05-14
000612.OF,华宝生态中国A,2014-06-13
000646.OF,华润元大量化优选A,2014-08-18
000800.OF,华商未来主题,2014-10-14
000940.OF,富国中小盘精选A,2015-01-23
000965.OF,汇丰晋信新动力,2015-02-11
001000.OF,中欧明睿新起点,2015-01-29
001076.OF,易方达改革红利,2015-04-23
001088.OF,华宝国策导向,2015-05-08
001118.OF,华宝事件驱动A,2015-04-08
001256.OF,泓德优选成长,2015-05-21
001267.OF,泰达宏利蓝筹价值,2015-06-03
001268.OF,富国国家安全主题A,2015-05-14
001306.OF,中欧永裕A,2015-06-04
001307.OF,中欧永裕C,2015-06-04
001349.OF,富国改革动力,2015-05-20
001382.OF,易方达国企改革,2017-08-23
001403.OF,招商国企改革,2015-06-29
001463.OF,光大一带一路,2015-06-26
001475.OF,易方达国防军工A,2015-06-19
001513.OF,易方达信息产业,2016-09-27
001558.OF,天弘医疗健康A,2015-06-30
001559.OF,天弘医疗健康C,2015-06-30
001723.OF,华商新动力A,2015-09-17
001811.OF,中欧明睿新常态A,2016-03-03
001881.OF,中欧新趋势E,2015-10-08
001882.OF,中欧价值发现E,2015-10-08
001883.OF,中欧新动力E,2015-10-08
001884.OF,中欧互通精选E,2018-10-08
001886.OF,中欧行业成长E,2015-10-08
001888.OF,中欧盛世成长E,2015-10-08
001900.OF,诺安精选价值,2019-02-28
001955.OF,中欧养老产业A,2016-05-13
001980.OF,中欧量化驱动,2018-05-16
001985.OF,富国低碳新经济A,2015-12-18
002305.OF,光大风格轮动A,2016-02-04
002340.OF,富国价值优势,2016-04-08
002419.OF,汇添富创新活力A,2016-04-19
002553.OF,博时创业成长C,2016-03-22
002562.OF,泓德泓益,2016-04-26
002593.OF,富国美丽中国A,2016-05-19
002598.OF,平安消费精选A,2016-06-08
002599.OF,平安消费精选C,2016-06-08
002692.OF,富国创新科技A,2016-06-16
002708.OF,大摩健康产业A,2016-06-30
003095.OF,中欧医疗健康A,2016-09-29
003096.OF,中欧医疗健康C,2016-09-29
003494.OF,富国天惠精选成长C,2017-03-23
003567.OF,华夏行业景气,2017-02-04
003751.OF,万家瑞隆A,2016-11-30
003822.OF,中信建投行业轮换A,2019-01-17
003823.OF,中信建投行业轮换C,2019-01-17
004076.OF,国联安锐意成长,2017-01-23
004148.OF,圆信永丰多策略精选,2017-03-29
004183.OF,富国产业升级A,2017-06-09
004221.OF,长信量化先锋C,2017-01-09
004231.OF,中欧行业成长C,2017-01-12
004232.OF,中欧价值发现C,2017-01-12
004233.OF,中欧盛世成长C,2017-01-12
004236.OF,中欧新动力C,2017-01-19
004250.OF,银河量化优选,2017-04-27
004332.OF,恒生前海沪港深新兴,2017-04-01
004351.OF,汇丰晋信珠三角区域,2017-06-02
004359.OF,创金合信量化核心A,2017-03-27
004360.OF,创金合信量化核心C,2017-03-27
004374.OF,华泰保兴吉年丰A,2017-03-24
004375.OF,华泰保兴吉年丰C,2017-03-24
004393.OF,安信企业价值优选,2017-03-29
004424.OF,汇添富文体娱乐主题A,2018-06-21
004434.OF,博时逆向投资A,2017-04-14
004435.OF,博时逆向投资C,2017-04-14
004477.OF,嘉实沪港深回报,2017-03-29
004505.OF,博时新兴消费主题A,2017-06-05
004845.OF,南华瑞盈A,2017-08-16
